127.0.0.1 - - [09/Jun/2026:20:19:13 +0530] "GET / HTTP/1.1" 200 11433
0:0:0:0:0:0:0:1 - - [09/Jun/2026:20:19:15 +0530] "GET /Project/seller-login.jsp HTTP/1.1" 200 5412
0:0:0:0:0:0:0:1 - - [09/Jun/2026:20:19:15 +0530] "GET /Project/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2026:20:19:15 +0530] "GET /Project/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2026:20:19:15 +0530] "GET /Project/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2026:20:19:15 +0530] "GET /Project/lib/animate/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2026:20:19:15 +0530] "GET /Project/img/favicon.ico HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [09/Jun/2026:20:19:17 +0530] "GET /Project/seller-forgot-password.jsp HTTP/1.1" 200 4959
0:0:0:0:0:0:0:1 - - [09/Jun/2026:20:19:27 +0530] "POST /Project/seller HTTP/1.1" 200 5116
0:0:0:0:0:0:0:1 - - [09/Jun/2026:20:19:53 +0530] "POST /Project/seller HTTP/1.1" 200 5146
0:0:0:0:0:0:0:1 - - [09/Jun/2026:20:20:05 +0530] "POST /Project/seller HTTP/1.1" 404 756
0:0:0:0:0:0:0:1 - - [09/Jun/2026:20:25:00 +0530] "POST /Project/seller HTTP/1.1" 200 2076
0:0:0:0:0:0:0:1 - - [09/Jun/2026:20:25:00 +0530] "GET /favicon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2026:20:25:34 +0530] "POST /Project/seller HTTP/1.1" 200 5717
0:0:0:0:0:0:0:1 - - [09/Jun/2026:20:34:33 +0530] "POST /Project/seller HTTP/1.1" 200 5717
0:0:0:0:0:0:0:1 - - [09/Jun/2026:20:34:41 +0530] "POST /Project/seller HTTP/1.1" 200 5717
0:0:0:0:0:0:0:1 - - [09/Jun/2026:20:34:58 +0530] "POST /Project/seller HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jun/2026:20:34:58 +0530] "GET /Project/seller-login.jsp HTTP/1.1" 200 5412
0:0:0:0:0:0:0:1 - - [09/Jun/2026:20:38:23 +0530] "GET /Project/seller-forgot-password.jsp HTTP/1.1" 200 4959
0:0:0:0:0:0:0:1 - - [09/Jun/2026:20:38:33 +0530] "POST /Project/seller HTTP/1.1" 200 5116
0:0:0:0:0:0:0:1 - - [09/Jun/2026:20:38:49 +0530] "POST /Project/seller HTTP/1.1" 200 5792
0:0:0:0:0:0:0:1 - - [09/Jun/2026:20:38:58 +0530] "POST /Project/seller HTTP/1.1" 200 5827
0:0:0:0:0:0:0:1 - - [09/Jun/2026:20:39:05 +0530] "POST /Project/seller HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jun/2026:20:39:05 +0530] "GET /Project/seller-login.jsp HTTP/1.1" 200 5412
0:0:0:0:0:0:0:1 - - [09/Jun/2026:20:39:11 +0530] "POST /Project/seller HTTP/1.1" 200 3455
0:0:0:0:0:0:0:1 - - [09/Jun/2026:20:39:15 +0530] "GET /Project/seller-profile.jsp HTTP/1.1" 200 6322
0:0:0:0:0:0:0:1 - - [09/Jun/2026:20:39:23 +0530] "GET /Project/seller-change-password.jsp HTTP/1.1" 200 5906
0:0:0:0:0:0:0:1 - - [09/Jun/2026:20:39:27 +0530] "GET /Project/seller-logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jun/2026:20:39:27 +0530] "GET /Project/seller-login.jsp HTTP/1.1" 200 5412
