127.0.0.1 - - [20/Jul/2026:12:44:55 +0530] "GET / HTTP/1.1" 200 11433
0:0:0:0:0:0:0:1 - - [20/Jul/2026:12:44:56 +0530] "GET /Assessment_Section_B_Task_1/index.jsp HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [20/Jul/2026:12:44:57 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [20/Jul/2026:12:44:59 +0530] "GET /Assessment_Section_B_Task_1/cart HTTP/1.1" 200 1836
0:0:0:0:0:0:0:1 - - [20/Jul/2026:12:45:11 +0530] "POST /Assessment_Section_B_Task_1/cart HTTP/1.1" 200 2102
0:0:0:0:0:0:0:1 - - [20/Jul/2026:12:45:18 +0530] "POST /Assessment_Section_B_Task_1/cart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jul/2026:12:45:18 +0530] "GET /Assessment_Section_B_Task_1/cleared.jsp HTTP/1.1" 200 619
0:0:0:0:0:0:0:1 - - [20/Jul/2026:12:45:20 +0530] "GET /Assessment_Section_B_Task_1/cart HTTP/1.1" 200 1836
0:0:0:0:0:0:0:1 - - [20/Jul/2026:12:45:45 +0530] "POST /Assessment_Section_B_Task_1/cart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jul/2026:12:45:45 +0530] "GET /Assessment_Section_B_Task_1/cleared.jsp HTTP/1.1" 200 619
0:0:0:0:0:0:0:1 - - [20/Jul/2026:12:45:47 +0530] "GET /Assessment_Section_B_Task_1/cart HTTP/1.1" 200 1836
0:0:0:0:0:0:0:1 - - [20/Jul/2026:12:45:56 +0530] "POST /Assessment_Section_B_Task_1/cart HTTP/1.1" 200 2102
0:0:0:0:0:0:0:1 - - [20/Jul/2026:12:45:58 +0530] "POST /Assessment_Section_B_Task_1/cart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jul/2026:12:45:58 +0530] "GET /Assessment_Section_B_Task_1/cleared.jsp HTTP/1.1" 200 619
0:0:0:0:0:0:0:1 - - [20/Jul/2026:12:46:00 +0530] "GET /Assessment_Section_B_Task_1/cart HTTP/1.1" 200 1836
0:0:0:0:0:0:0:1 - - [20/Jul/2026:13:18:06 +0530] "GET /Assessment_Section_B_Task_1/cart HTTP/1.1" 200 1836
0:0:0:0:0:0:0:1 - - [20/Jul/2026:13:18:07 +0530] "GET /Assessment_Section_B_Task_1/cart HTTP/1.1" 200 1836
0:0:0:0:0:0:0:1 - - [20/Jul/2026:13:18:07 +0530] "GET /Assessment_Section_B_Task_1/cart HTTP/1.1" 200 1836
0:0:0:0:0:0:0:1 - - [20/Jul/2026:13:18:07 +0530] "GET /Assessment_Section_B_Task_1/cart HTTP/1.1" 200 1836
0:0:0:0:0:0:0:1 - - [20/Jul/2026:13:18:08 +0530] "GET /Assessment_Section_B_Task_1/cart HTTP/1.1" 200 1836
0:0:0:0:0:0:0:1 - - [20/Jul/2026:13:18:08 +0530] "GET /Assessment_Section_B_Task_1/cart HTTP/1.1" 200 1836
0:0:0:0:0:0:0:1 - - [20/Jul/2026:13:18:08 +0530] "GET /Assessment_Section_B_Task_1/cart HTTP/1.1" 200 1836
0:0:0:0:0:0:0:1 - - [20/Jul/2026:13:18:08 +0530] "GET /Assessment_Section_B_Task_1/cart HTTP/1.1" 200 1836
0:0:0:0:0:0:0:1 - - [20/Jul/2026:13:18:08 +0530] "GET /Assessment_Section_B_Task_1/cart HTTP/1.1" 200 1836
0:0:0:0:0:0:0:1 - - [20/Jul/2026:13:18:08 +0530] "GET /Assessment_Section_B_Task_1/cart HTTP/1.1" 200 1836
0:0:0:0:0:0:0:1 - - [20/Jul/2026:13:18:09 +0530] "GET /Assessment_Section_B_Task_1/cart HTTP/1.1" 200 1836
0:0:0:0:0:0:0:1 - - [20/Jul/2026:13:18:13 +0530] "POST /Assessment_Section_B_Task_1/cart HTTP/1.1" 200 2102
0:0:0:0:0:0:0:1 - - [20/Jul/2026:13:18:31 +0530] "POST /Assessment_Section_B_Task_1/cart HTTP/1.1" 200 2242
0:0:0:0:0:0:0:1 - - [20/Jul/2026:13:18:41 +0530] "POST /Assessment_Section_B_Task_1/cart HTTP/1.1" 200 2382
0:0:0:0:0:0:0:1 - - [20/Jul/2026:13:18:49 +0530] "POST /Assessment_Section_B_Task_1/cart HTTP/1.1" 200 2522
0:0:0:0:0:0:0:1 - - [20/Jul/2026:13:19:00 +0530] "POST /Assessment_Section_B_Task_1/cart HTTP/1.1" 200 2662
