127.0.0.1 - - [19/Aug/2026:12:23:51 +0530] "GET / HTTP/1.1" 200 11433
0:0:0:0:0:0:0:1 - - [19/Aug/2026:12:23:52 +0530] "GET /Project/index.jsp HTTP/1.1" 200 47228
0:0:0:0:0:0:0:1 - - [19/Aug/2026:12:23:52 +0530] "GET /Project/img/about-img.jpg HTTP/1.1" 200 116651
0:0:0:0:0:0:0:1 - - [19/Aug/2026:12:23:52 +0530] "GET /Project/css/bootstrap.min.css HTTP/1.1" 200 166577
0:0:0:0:0:0:0:1 - - [19/Aug/2026:12:23:52 +0530] "GET /Project/img/hero-img.png HTTP/1.1" 200 221790
0:0:0:0:0:0:0:1 - - [19/Aug/2026:12:23:52 +0530] "GET /Project/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [19/Aug/2026:12:23:52 +0530] "GET /Project/css/style.css HTTP/1.1" 200 10248
0:0:0:0:0:0:0:1 - - [19/Aug/2026:12:23:52 +0530] "GET /Project/lib/animate/animate.min.css HTTP/1.1" 200 16964
0:0:0:0:0:0:0:1 - - [19/Aug/2026:12:23:52 +0530] "GET /Project/img/feature.png HTTP/1.1" 200 102914
0:0:0:0:0:0:0:1 - - [19/Aug/2026:12:23:52 +0530] "GET /Project/img/project-1.jpg HTTP/1.1" 200 31663
0:0:0:0:0:0:0:1 - - [19/Aug/2026:12:23:52 +0530] "GET /Project/img/project-2.jpg HTTP/1.1" 200 18433
0:0:0:0:0:0:0:1 - - [19/Aug/2026:12:23:52 +0530] "GET /Project/lib/wow/wow.min.js HTTP/1.1" 200 8159
0:0:0:0:0:0:0:1 - - [19/Aug/2026:12:23:52 +0530] "GET /Project/lib/easing/easing.min.js HTTP/1.1" 200 2303
0:0:0:0:0:0:0:1 - - [19/Aug/2026:12:23:52 +0530] "GET /Project/lib/waypoints/waypoints.min.js HTTP/1.1" 200 9028
0:0:0:0:0:0:0:1 - - [19/Aug/2026:12:23:52 +0530] "GET /Project/lib/counterup/counterup.min.js HTTP/1.1" 200 2406
0:0:0:0:0:0:0:1 - - [19/Aug/2026:12:23:52 +0530] "GET /Project/js/main.js HTTP/1.1" 200 1546
